our_code,supplier_code,description,pack_size_ea
1000TP011,,Tray PP 1200ml Clear,280
1042Z,,Box Dinner Paper White,400
1043Z,,Box Snack Paper White,500
15002*,,Plate Paper Side 17.75cm White 250pk R,"1,000"
172696,,Tray Pulp 4cup Bidvest Smart Choice,300
215T30PP,,Cup PP Cold 200ml Wine Clear 30pk,150
23002Z*,,Plate Paper FSC Dinner 23cm Huhtamaki 250pk,"1,000"
2350002*,,Plate Paper FSC  23cm Huhtamaki 50pk,400
280CP011,,Cntr PP  Round 340ml Clear,600
450CP911,,Cntr PP 450ml Clear Bulk,600
500CP011,,Cntr PP Round 550ml Clear,600
500CPFG011,,Cntr PP  550ml Freezer Grade Clear R,600
500TP011,,Tray PP Rectangle 670ml Clear,280
52888,,Cup Paper DPE FSC Tall FD 16oz Popeyes,"1,500"
52891,,Cup Paper DPE FSC FD 7oz Popeyes,"1,848"
530CP911,,Cntr PP 530ml Bulk Clear,600
651753522137,,Tray   FSC  #300 TMP10067 Popeyes R,"1,000"
651753561032,,Box FSC  9inch LA Kitchen 9774 Popeyes R,150
750TP011,,Tray PP Rectangle 960ml Clear,280
850CP011,,Cntr PP Round 880ml Clear,600
850CP911,,Cntr PP 880ml Clear Bulk,600
89474,,Lid  PP  Hot for 7oz and 16oz FC Popeyes,"1,000"
ABBB,,Box Burger Kraft FSC Board 105 x 105 x 85mm,250
ABHD,,Box FSC Hot Dog 208x70x75mm,200
ABSBL,,Box FSC Snack Large 205x107x77mm,200
ABSBR,,Box FSC Snack Regular 175x90x84mm,200
ABT2,,Tray FSC Paperboard #2 178x178x45,240
ABT3,,Tray  FSC Paperboard #3 180x134x45,300
ABT4,,Tray FSC Paperboard #4 152x225x45,250
BB20P,,Bowl Bamboo Future Friendly 20oz,200
BB24P,,Bowl Bamboo Future Friendly 24oz,200
BB30P,,Bowl Bamboo Future Friendly 30oz,200
BB32P,,Bowl Bamboo Future Friendly 32oz,200
BB40P,,Bowl Bamboo Future Friendly 40oz,200
BB553408CJ,,Cup Paper FSC Hot 4oz Black 50s R,"1,000"
BBLIDL,,Lid Flat PET 30/40oz Bamboo Bowl,200
BBLIDM,,Lid Flat PET 20/24/32oz Bamboo Bowl,200
BIOSWS225034,,Cup PLA FSC  SW (80dia) 225ml 6oz Love Nature,"1,000"
